epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5763359069824219,0.5873606204986572
0,65,,,0.987466037273407,,
1,131,,,,0.5887404680252075,0.6423236727714539
1,131,,,0.6579225063323975,,
2,197,,,,0.5143129825592041,0.6513698697090149
2,197,,,0.6408411860466003,,
3,263,,,,0.6240457892417908,0.67518550157547
3,263,,,0.6259205341339111,,
4,329,,,,0.6407442688941956,0.4894915223121643
4,329,,,0.6110618710517883,,
5,395,,,,0.694656491279602,0.6257309913635254
5,395,,,0.5871783494949341,,
6,461,,,,0.7337786555290222,0.7102803587913513
6,461,,,0.568296492099762,,
7,527,,,,0.7729007601737976,0.7581300735473633
7,527,,,0.5394197702407837,,
8,593,,,,0.8115457892417908,0.7945917844772339
8,593,,,0.49656942486763,,
9,659,,,,0.7986640930175781,0.742682933807373
9,659,,,0.45455068349838257,,
10,660,0.8016213774681091,0.7751351594924927,,,
