user_id,product_id,target,has_bought,has_wishlisted,has_reviewed,user_rating,gender,score_in_app,name,slug,category,product_sku,is_published,description,image_url,score,price,stock,calories,protein,carbs,fats,fiber,sugar,ingredients,allergens,created_at,updated_at,old_price,total_units_sold,wishlist_count,average_rating,review_count,avg_likes_per_review
427,eaca45b6-e327-4813-a1e6-db1b6fa36985,0,0,0,0,0,,1306,Energy Gel 7,energy-gel-7,Vitamins,,1,Energy Gel 7 - Premium quality.,,4,48.76,569,224,21.0,66.0,3.0,17.0,5.0,Sample ingredients,"gluten,soy,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,0.0,4.0,0.0,0.0,0.0
286,8fed7f4d-0aff-44bd-a959-723454b8fcdd,0,0,0,0,0,,448,Prebiotic Capsules 16,prebiotic-capsules-16,Supplements,,1,Prebiotic Capsules 16 - Premium quality.,,5,83.02,939,85,5.0,63.0,4.0,25.0,21.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,25.0,3.0,4.0,1.0,17.0
737,f0f4bb62-f7dc-4481-b85e-56135707eb1c,0,0,0,0,0,,717,Sleep Support 15,sleep-support-15,Vitamins,,1,Sleep Support 15 - Premium quality.,,3,82.93,582,240,8.0,58.0,35.0,25.0,12.0,Sample ingredients,"gluten,soy,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,11.0,6.0,4.0,2.0,24.0
472,12082526-8c07-43c0-8462-17a41dcfc8cd,0,0,0,0,0,,1433,Apple Cider Vinegar 4,apple-cider-vinegar-4,EnergyDrinks,,1,Apple Cider Vinegar 4 - Premium quality.,,4,59.82,335,327,15.0,95.0,35.0,24.0,6.0,Sample ingredients,"nuts,gluten",2025-04-16 22:19:12,2025-04-16 22:19:12,,19.0,1.0,0.0,0.0,0.0
503,1627c948-01c2-4911-b36b-e809f157d273,0,0,0,0,0,,1346,Pre-Workout Booster 3,pre-workout-booster-3,HealthySnacks,,1,Pre-Workout Booster 3 - Premium quality.,,4,39.09,395,216,10.0,18.0,0.0,6.0,26.0,Sample ingredients,"eggs,gluten,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,10.0,5.0,4.0,1.0,45.0
126,7dafad13-ef29-47fa-a630-11f6ab36c86e,0,0,0,0,0,,1639,Ashwagandha 13,ashwagandha-13,Vitamins,,1,Ashwagandha 13 - Premium quality.,,5,98.32,675,227,26.0,94.0,39.0,8.0,1.0,Sample ingredients,"fish,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,24.0,4.0,3.5,2.0,8.5
204,324bd317-de6d-48a2-8f06-16cfaa087bff,0,0,0,0,0,,1709,Energy Bar 15,energy-bar-15,Vitamins,,1,Energy Bar 15 - Premium quality.,,3,54.49,265,288,31.0,37.0,8.0,26.0,30.0,Sample ingredients,lactose,2025-04-16 22:19:11,2025-04-16 22:19:11,,5.0,4.0,0.0,0.0,0.0
856,3afab437-961e-4ff6-b4aa-b038998eec66,0,0,0,0,0,,634,Ashwagandha 18,ashwagandha-18,OrganicFoods,,1,Ashwagandha 18 - Premium quality.,,5,76.87,537,261,45.0,15.0,11.0,8.0,23.0,Sample ingredients,"eggs,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,3.0,4.0,0.0,0.0,0.0
935,72ecf87c-7723-4159-b31e-d5b080f43fff,0,0,0,0,0,,492,Fiber Boost 9,fiber-boost-9,Detox,,1,Fiber Boost 9 - Premium quality.,,4,77.04,850,238,8.0,50.0,45.0,14.0,3.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,14.0,4.0,5.0,1.0,40.0
371,60b43bff-ce2d-4357-ae21-5bcade8815c4,0,0,0,0,0,,141,Omega 3 17,omega-3-17,Supplements,,1,Omega 3 17 - Premium quality.,,3,26.69,307,346,16.0,10.0,13.0,26.0,5.0,Sample ingredients,"fish,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,6.0,1.0,0.0,0.0,0.0
865,06423e33-68cb-4db3-9fb6-66a17c03eedd,0,0,0,0,0,,699,Turmeric Capsules 1,turmeric-capsules-1,WeightLoss,,1,Turmeric Capsules 1 - Premium quality.,,3,27.58,113,397,46.0,80.0,49.0,2.0,39.0,Sample ingredients,"fish,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,8.0,1.0,4.0,1.0,48.0
44,076cb5b3-bd33-4c31-914d-01ef6655c6d2,0,0,0,0,0,,777,Herbal Detox 14,herbal-detox-14,EnergyDrinks,,1,Herbal Detox 14 - Premium quality.,,4,62.23,344,257,2.0,59.0,20.0,20.0,13.0,Sample ingredients,"eggs,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,10.0,4.0,4.0,1.0,26.0
608,aba869fb-3398-42dc-aa7b-6a6336ee4a8d,0,0,0,0,0,,1243,Hydration Drink 2,hydration-drink-2,HealthySnacks,,1,Hydration Drink 2 - Premium quality.,,3,45.29,867,97,7.0,71.0,31.0,6.0,32.0,Sample ingredients,nuts,2025-04-16 22:19:13,2025-04-16 22:19:13,,21.0,3.0,4.0,1.0,49.0
15,352a5022-98ad-4f74-8ea7-9e18d2d0335d,0,0,0,0,0,,1429,Meal Shake 17,meal-shake-17,Supplements,,1,Meal Shake 17 - Premium quality.,,5,14.59,983,166,43.0,0.0,12.0,28.0,25.0,Sample ingredients,"gluten,eggs",2025-04-16 22:19:13,2025-04-16 22:19:13,,24.0,4.0,4.5,2.0,36.0
238,19db91f1-1b46-4149-930e-330f7a0cf048,0,0,0,0,0,,236,Electrolyte Mix 18,electrolyte-mix-18,Detox,,1,Electrolyte Mix 18 - Premium quality.,,5,27.67,930,180,30.0,0.0,22.0,10.0,12.0,Sample ingredients,"nuts,lactose",2025-04-16 22:19:12,2025-04-16 22:19:12,,18.0,6.0,0.0,0.0,0.0
804,1450856e-9b2c-4d5e-ae75-888e797ec990,0,0,0,0,0,,156,Iron Supplement 3,iron-supplement-3,Vitamins,,1,Iron Supplement 3 - Premium quality.,,5,42.7,931,232,48.0,35.0,16.0,3.0,21.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,22.0,5.0,0.0,0.0,0.0
171,541c6c33-967f-434e-9c00-8c9c0c91cb2b,0,0,0,0,0,,1272,Multivitamin 13,multivitamin-13,EnergyDrinks,,1,Multivitamin 13 - Premium quality.,,4,34.32,613,178,50.0,4.0,30.0,1.0,31.0,Sample ingredients,"soy,nuts,gluten",2025-04-16 22:19:11,2025-04-16 22:19:11,,27.0,2.0,5.0,1.0,30.0
229,f5c0e905-b319-4c55-878b-258d2af61914,0,0,0,0,0,,1680,Prebiotic Capsules 17,prebiotic-capsules-17,EnergyDrinks,,1,Prebiotic Capsules 17 - Premium quality.,,4,90.36,868,335,8.0,35.0,28.0,21.0,23.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,9.0,8.0,4.0,1.0,45.0
277,f8a9d90c-cf35-494f-8a11-06b66232b1ce,0,0,0,0,0,,973,Creatine Monohydrate 19,creatine-monohydrate-19,Detox,,1,Creatine Monohydrate 19 - Premium quality.,,3,69.02,433,50,11.0,75.0,25.0,1.0,27.0,Sample ingredients,"gluten,fish",2025-04-16 22:19:13,2025-04-16 22:19:13,,0.0,3.0,0.0,0.0,0.0
950,dbe0071e-b4ff-4923-a44b-ebdfdbd7b66b,0,0,0,0,0,,1700,Isolate Protein 14,isolate-protein-14,Vitamins,,1,Isolate Protein 14 - Premium quality.,,4,61.05,879,188,24.0,62.0,49.0,7.0,17.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,17.0,3.0,1.0,1.0,1.0
566,9071dfbe-1545-49bc-8c0b-3f41f63ee7a3,0,0,0,0,0,,465,Isolate Protein 12,isolate-protein-12,HealthySnacks,,1,Isolate Protein 12 - Premium quality.,,4,82.32,914,145,30.0,69.0,0.0,7.0,5.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,35.0,13.0,3.75,4.0,20.5
177,3a90d9b9-0c89-4d2f-be7a-c9886b6bdfb3,0,0,0,0,0,,756,Hydration Drink 3,hydration-drink-3,HealthySnacks,,1,Hydration Drink 3 - Premium quality.,,3,46.32,725,117,37.0,12.0,28.0,17.0,10.0,Sample ingredients,"soy,lactose,gluten",2025-04-16 22:19:13,2025-04-16 22:19:13,,40.0,14.0,5.0,1.0,40.0
816,ad0a18a6-027b-4541-8abb-ab8608787538,0,0,0,0,0,,1769,Vitamin C 2,vitamin-c-2,Supplements,,1,Vitamin C 2 - Premium quality.,,4,12.95,95,73,40.0,5.0,50.0,13.0,27.0,Sample ingredients,nuts,2025-04-16 22:19:11,2025-04-16 22:19:11,,22.0,1.0,0.0,0.0,0.0
75,8ba57766-a6cc-494a-aa05-0160f8510310,0,0,0,0,0,,890,Joint Support 9,joint-support-9,Detox,,1,Joint Support 9 - Premium quality.,,4,75.37,522,98,11.0,1.0,40.0,2.0,22.0,Sample ingredients,"lactose,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,39.0,9.0,4.5,4.0,29.25
527,e284b257-4c52-471e-9d12-70bbc0fdcef4,0,0,0,0,0,,785,Multivitamin 15,multivitamin-15,EnergyDrinks,,1,Multivitamin 15 - Premium quality.,,3,82.54,810,244,11.0,22.0,39.0,17.0,22.0,Sample ingredients,soy,2025-04-16 22:19:11,2025-04-16 22:19:11,,10.0,4.0,0.0,0.0,0.0
623,c71a2e0d-a7d1-45ff-84c4-ba02b0408dea,0,0,0,0,0,,526,Thermogenic Formula 9,thermogenic-formula-9,Vitamins,,1,Thermogenic Formula 9 - Premium quality.,,4,95.48,938,92,41.0,60.0,27.0,28.0,21.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,35.0,18.0,0.0,0.0,0.0
443,111a55fa-1226-4b57-bf75-9ae3a3ea33d3,0,0,0,0,0,,922,Matcha Powder 11,matcha-powder-11,EnergyDrinks,,1,Matcha Powder 11 - Premium quality.,,4,55.24,272,187,44.0,95.0,43.0,10.0,4.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,0.0,2.0,0.0,0.0,0.0
543,804ae4aa-7cad-492b-b91f-0d6b47dbca0e,0,0,0,0,0,,478,Matcha Powder 14,matcha-powder-14,Vitamins,,1,Matcha Powder 14 - Premium quality.,,4,25.21,613,247,11.0,25.0,50.0,6.0,0.0,Sample ingredients,soy,2025-04-16 22:19:12,2025-04-16 22:19:12,,11.0,5.0,3.0,1.0,8.0
7,53fc2ced-9c77-4be3-9073-44460b08e30e,0,0,0,0,0,,191,Iron Supplement 15,iron-supplement-15,Supplements,,1,Iron Supplement 15 - Premium quality.,,4,46.72,42,169,31.0,85.0,8.0,20.0,19.0,Sample ingredients,"eggs,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,26.0,5.0,4.0,1.0,39.0
517,6b1e5867-e917-44b6-b229-dc2ec725ec42,0,0,0,0,0,,1131,Multivitamin 20,multivitamin-20,EnergyDrinks,,1,Multivitamin 20 - Premium quality.,,4,64.32,772,108,5.0,60.0,47.0,9.0,9.0,Sample ingredients,"lactose,gluten",2025-04-16 22:19:11,2025-04-16 22:19:11,,20.0,3.0,0.0,0.0,0.0
92,c2a93da8-beb0-46f6-b27b-04c9cd3b24af,0,0,0,0,0,,1671,Hydration Drink 20,hydration-drink-20,Vitamins,,1,Hydration Drink 20 - Premium quality.,,3,96.84,613,388,8.0,77.0,19.0,4.0,13.0,Sample ingredients,eggs,2025-04-16 22:19:13,2025-04-16 22:19:13,,15.0,5.0,0.0,0.0,0.0
853,ea1bd053-1fb7-481d-93f8-5a3043033004,0,0,0,0,0,,1877,Whey Protein 3,whey-protein-3,OrganicFoods,,1,Whey Protein 3 - Premium quality.,,4,97.07,50,295,17.0,15.0,10.0,9.0,12.0,Sample ingredients,nuts,2025-04-16 22:19:11,2025-04-16 22:19:11,,18.0,3.0,2.0,1.0,1.0
10,a2ebc7bb-84d6-4f9a-9966-2cdd5ae387b5,0,0,0,0,0,,1466,Apple Cider Vinegar 10,apple-cider-vinegar-10,OrganicFoods,,1,Apple Cider Vinegar 10 - Premium quality.,,4,39.91,39,115,7.0,16.0,41.0,7.0,29.0,Sample ingredients,soy,2025-04-16 22:19:12,2025-04-16 22:19:12,,15.0,1.0,5.0,1.0,45.0
756,ab24d001-5a29-40dc-b5f9-af94dc6eec73,0,0,0,0,0,,1590,Meal Shake 15,meal-shake-15,EnergyDrinks,,1,Meal Shake 15 - Premium quality.,,3,72.94,551,198,47.0,28.0,0.0,1.0,4.0,Sample ingredients,"eggs,fish,lactose",2025-04-16 22:19:13,2025-04-16 22:19:13,,0.0,1.0,0.0,0.0,0.0
381,c5dee40c-177e-4241-a4f0-fb49b9a1061e,0,0,0,0,0,,952,Energy Shot 18,energy-shot-18,OrganicFoods,,1,Energy Shot 18 - Premium quality.,,3,94.05,797,189,4.0,34.0,8.0,26.0,36.0,Sample ingredients,fish,2025-04-16 22:19:13,2025-04-16 22:19:13,,26.0,2.0,1.0,1.0,0.0
896,d2c82e35-eba7-4c64-8431-746a30ac3d32,0,0,0,0,0,,1456,Pre-Workout Booster 19,pre-workout-booster-19,OrganicFoods,,1,Pre-Workout Booster 19 - Premium quality.,,4,46.25,471,120,45.0,4.0,32.0,22.0,19.0,Sample ingredients,nuts,2025-04-16 22:19:12,2025-04-16 22:19:12,,0.0,2.0,0.0,0.0,0.0
21,1b6f058c-b96c-4fac-9eea-a3f61c7c9a0a,0,0,0,0,0,,735,Thermogenic Formula 18,thermogenic-formula-18,HealthySnacks,,1,Thermogenic Formula 18 - Premium quality.,,5,86.21,26,203,35.0,40.0,30.0,8.0,37.0,Sample ingredients,nuts,2025-04-16 22:19:13,2025-04-16 22:19:13,,31.0,12.0,4.666666666666667,6.0,20.666666666666668
600,ffd72b79-acc9-4d7d-9af0-20496940fa34,0,0,0,0,0,,1177,Magnesium Complex 11,magnesium-complex-11,Supplements,,1,Magnesium Complex 11 - Premium quality.,,3,61.16,979,192,15.0,93.0,25.0,7.0,30.0,Sample ingredients,none,2025-04-16 22:19:11,2025-04-16 22:19:11,,24.0,3.0,3.0,1.0,4.0
949,1141118c-c29e-4b60-a27f-1076524825b6,0,0,0,0,0,,1666,Biotin 18,biotin-18,HealthySnacks,,1,Biotin 18 - Premium quality.,,4,72.37,212,274,0.0,7.0,7.0,6.0,18.0,Sample ingredients,"soy,nuts",2025-04-16 22:19:12,2025-04-16 22:19:12,,19.0,4.0,5.0,1.0,19.0
280,590c4d6d-9984-4ae0-b661-fa77bac9508d,0,0,0,0,0,,1471,Meal Shake 1,meal-shake-1,WeightLoss,,1,Meal Shake 1 - Premium quality.,,3,25.31,103,198,0.0,67.0,14.0,28.0,39.0,Sample ingredients,fish,2025-04-16 22:19:13,2025-04-16 22:19:13,,36.0,6.0,0.0,0.0,0.0
773,d43d1dbc-f60c-4bf5-a61e-6e339bb5c4fb,0,0,0,0,0,,617,Meal Shake 8,meal-shake-8,Detox,,1,Meal Shake 8 - Premium quality.,,5,20.31,529,204,31.0,65.0,29.0,5.0,11.0,Sample ingredients,"soy,fish,nuts",2025-04-16 22:19:13,2025-04-16 22:19:13,,14.0,7.0,0.0,0.0,0.0
777,ff77ddcc-f2f3-4b1f-9ae7-94ab95c31f4d,0,0,0,0,0,,245,Protein Bar 17,protein-bar-17,WeightLoss,,1,Protein Bar 17 - Premium quality.,,4,98.86,86,331,33.0,57.0,49.0,28.0,39.0,Sample ingredients,"soy,eggs,fish",2025-04-16 22:19:13,2025-04-16 22:19:13,,13.0,3.0,0.0,0.0,0.0
224,195a56fc-c541-48c6-a57d-aad3f2f6f2bf,0,0,0,0,0,,783,Probiotic Gummies 17,probiotic-gummies-17,WeightLoss,,1,Probiotic Gummies 17 - Premium quality.,,4,47.61,142,70,35.0,57.0,32.0,10.0,6.0,Sample ingredients,lactose,2025-04-16 22:19:13,2025-04-16 22:19:13,,28.0,13.0,2.0,3.0,3.6666666666666665
436,4f5622d7-bad8-4cdb-a664-216fa5e6764e,0,0,0,0,0,,151,BCAA Powder 6,bcaa-powder-6,WeightLoss,,1,BCAA Powder 6 - Premium quality.,,3,56.31,150,104,29.0,88.0,38.0,4.0,6.0,Sample ingredients,soy,2025-04-16 22:19:12,2025-04-16 22:19:12,,23.0,2.0,4.0,1.0,29.0
381,1da047f0-b1e6-4881-ac94-61a2128a8eb9,0,0,0,0,0,,952,Apple Cider Vinegar 1,apple-cider-vinegar-1,EnergyDrinks,,1,Apple Cider Vinegar 1 - Premium quality.,,4,70.38,350,362,33.0,76.0,12.0,26.0,27.0,Sample ingredients,lactose,2025-04-16 22:19:12,2025-04-16 22:19:12,,9.0,4.0,0.0,0.0,0.0
447,60b43bff-ce2d-4357-ae21-5bcade8815c4,0,0,0,0,0,,1940,Omega 3 17,omega-3-17,Supplements,,1,Omega 3 17 - Premium quality.,,3,26.69,307,346,16.0,10.0,13.0,26.0,5.0,Sample ingredients,"fish,soy",2025-04-16 22:19:12,2025-04-16 22:19:12,,6.0,1.0,0.0,0.0,0.0
426,66f5c04b-2cb8-4293-8ad1-83e8cfee450a,0,0,0,0,0,,1428,Probiotic Gummies 20,probiotic-gummies-20,Vitamins,,1,Probiotic Gummies 20 - Premium quality.,,3,47.47,469,393,30.0,72.0,35.0,5.0,31.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,0.0,1.0,0.0,0.0,0.0
438,8b0e293b-4cf2-4c42-81fe-bc271b24f988,0,0,0,0,0,,1661,Zinc Tablets 11,zinc-tablets-11,EnergyDrinks,,1,Zinc Tablets 11 - Premium quality.,,4,59.78,568,114,33.0,70.0,38.0,22.0,18.0,Sample ingredients,eggs,2025-04-16 22:19:12,2025-04-16 22:19:12,,17.0,3.0,0.0,0.0,0.0
1,fee837ba-af2b-42f7-bd65-0d2312b1c625,0,0,0,0,0,,51,Immune Boost 10,immune-boost-10,Vitamins,,1,Immune Boost 10 - Premium quality.,,3,61.88,697,292,38.0,2.0,12.0,13.0,25.0,Sample ingredients,"lactose,fish",2025-04-16 22:19:12,2025-04-16 22:19:12,,12.0,5.0,0.0,0.0,0.0
929,b0472857-363e-412c-b163-334458fc4773,0,0,0,0,0,,1713,Zinc Tablets 18,zinc-tablets-18,Detox,,1,Zinc Tablets 18 - Premium quality.,,4,86.9,917,205,43.0,0.0,45.0,16.0,17.0,Sample ingredients,eggs,2025-04-16 22:19:12,2025-04-16 22:19:12,,21.0,5.0,4.0,3.0,27.666666666666668
941,05e1997c-2102-47dc-9e25-4b7549be2c0e,0,0,0,0,0,,764,BCAA Powder 5,bcaa-powder-5,HealthySnacks,,1,BCAA Powder 5 - Premium quality.,,3,87.38,58,304,10.0,96.0,8.0,10.0,6.0,Sample ingredients,nuts,2025-04-16 22:19:12,2025-04-16 22:19:12,,10.0,8.0,0.0,0.0,0.0
610,0fe24369-2f46-4ba5-9f5d-795626e63b21,0,0,0,0,0,,1271,Thermogenic Formula 13,thermogenic-formula-13,EnergyDrinks,,1,Thermogenic Formula 13 - Premium quality.,,4,17.59,154,66,33.0,53.0,12.0,17.0,36.0,Sample ingredients,none,2025-04-16 22:19:13,2025-04-16 22:19:13,,41.0,13.0,5.0,1.0,41.0
932,98b2221a-2471-4792-ab81-d4a9e80ff7fe,0,0,0,0,0,,1471,Biotin 9,biotin-9,Detox,,1,Biotin 9 - Premium quality.,,3,16.7,275,330,33.0,1.0,30.0,4.0,24.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,0.0,1.0,0.0,0.0,0.0
497,b3790433-5362-46bf-9a08-fde507eb0f1d,0,0,0,0,0,,1666,Electrolyte Mix 14,electrolyte-mix-14,OrganicFoods,,1,Electrolyte Mix 14 - Premium quality.,,5,25.22,345,288,22.0,53.0,12.0,0.0,13.0,Sample ingredients,none,2025-04-16 22:19:12,2025-04-16 22:19:12,,11.0,1.0,1.0,1.0,1.0
