epoch,step,test_acc,test_f1,train_loss,val_acc,val_f1
0,65,,,,0.5608011484146118,0.5608011484146118
0,65,,,1.5076863765716553,,
1,131,,,,0.6118264198303223,0.6445415019989014
1,131,,,0.6796923279762268,,
2,197,,,,0.624701976776123,0.7020068168640137
2,197,,,0.6599451303482056,,
3,263,,,,0.5989508628845215,0.4211975336074829
3,263,,,0.643264889717102,,
4,329,,,,0.6542680263519287,0.7034764885902405
4,329,,,0.6249575614929199,,
5,395,,,,0.7019551992416382,0.7198565602302551
5,395,,,0.6039227247238159,,
6,461,,,,0.6528373956680298,0.7281553149223328
6,461,,,0.5864165425300598,,
7,527,,,,0.7238912582397461,0.6992207765579224
7,527,,,0.5737848281860352,,
8,593,,,,0.7238912582397461,0.7686775922775269
8,593,,,0.5502985119819641,,
9,659,,,,0.7744396924972534,0.7612317204475403
9,659,,,0.5215042233467102,,
10,660,0.7525035738945007,0.7334360480308533,,,
